x,y,xg,team,minute,result
0.8580000305175781,0.38799999237060545,0.07703341543674469,Manchester United,3,BlockedShot
0.745999984741211,0.6809999847412109,0.04451713711023331,Manchester United,8,BlockedShot
0.8619999694824219,0.3579999923706055,0.04205584153532982,Manchester United,8,BlockedShot
0.7630000305175781,0.629000015258789,0.023066937923431396,Manchester United,13,BlockedShot
0.9119999694824219,0.45099998474121095,0.04972703754901886,Manchester United,21,MissedShots
0.8219999694824218,0.685,0.02688169665634632,Manchester United,47,BlockedShot
0.8480000305175781,0.66,0.046193573623895645,Manchester United,48,SavedShot
0.915,0.6020000076293945,0.03150186687707901,Manchester United,57,MissedShots
0.8590000152587891,0.6480000305175782,0.03283456712961197,Manchester United,60,MissedShots
0.7069999694824218,0.455,0.015381147153675556,Manchester United,63,MissedShots
0.8730000305175781,0.30700000762939456,0.04665311798453331,Manchester United,65,BlockedShot
0.9309999847412109,0.655,0.08978378772735596,Manchester United,66,MissedShots
0.7240000152587891,0.675,0.012544955126941204,Manchester United,74,MissedShots
0.835,0.5059999847412109,0.06151730194687843,Manchester United,77,MissedShots
0.725,0.385,0.0158347487449646,Manchester United,82,MissedShots
0.8590000152587891,0.4540000152587891,0.10028256475925446,Manchester United,89,SavedShot
0.865,0.5609999847412109,0.10253725945949554,Manchester United,91,MissedShots
0.980999984741211,0.4640000152587891,0.940220296382904,Manchester United,92,Goal
0.8819999694824219,0.3370000076293945,0.06230355054140091,West Ham,2,BlockedShot
0.8490000152587891,0.5459999847412109,0.05437126383185387,West Ham,51,BlockedShot
0.875999984741211,0.32799999237060545,0.020028850063681602,West Ham,53,MissedShots
0.7019999694824218,0.605,0.011516683734953403,West Ham,56,MissedShots
0.8530000305175781,0.6020000076293945,0.06839936226606369,West Ham,76,SavedShot
0.9469999694824218,0.40599998474121096,0.021407656371593475,West Ham,86,MissedShots
